Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2000-01-03,0.8392806649208069,0.843497926813925,0.7624285047880487,0.7863277904024384,535796800
1,2000-01-04,0.7685208320617676,0.8294395791039839,0.7586798210785961,0.8116326908754726,512377600
2,2000-01-05,0.7797669172286987,0.8289711831558944,0.7722696339123498,0.7778925838863705,778321600
3,2000-01-06,0.7122871279716492,0.8022604296014583,0.7122871279716492,0.7957002882517805,767972800
4,2000-01-07,0.7460272908210754,0.7572740890886165,0.7160365128313134,0.7235337943918978,460734400
5,2000-01-10,0.7329063415527344,0.7666457914189816,0.7104128410769827,0.7647714581784054,505064000
6,2000-01-11,0.6954169869422913,0.7450898147776227,0.6785472976466435,0.7193162598556091,441548800
7,2000-01-12,0.6537110209465027,0.7160363415609478,0.6485557683083425,0.7122868257508462,976068800
8,2000-01-13,0.7254080772399902,0.740403491261299,0.6935429663469469,0.7084208059833907,1032684800
9,2000-01-14,0.7530561089515686,0.7666457372400635,0.7450902307817903,0.7497760385256035,390376000
10,2000-01-18,0.7792983055114746,0.794763118432628,0.7530561393498024,0.757274202373897,459177600
11,2000-01-19,0.7989802360534668,0.8153813877527537,0.7750809516585904,0.7919506991116363,597643200
12,2000-01-20,0.8509958982467651,0.9109774477720004,0.8509958982467651,0.8659912606016005,1831132800
13,2000-01-21,0.8345948457717896,0.8566189971768563,0.8261595713077537,0.8566189971768563,495924800
14,2000-01-24,0.7966374158859253,0.8453722287555642,0.7882020910634303,0.8130385187365555,440876800
15,2000-01-25,0.8416233062744141,0.8481843460522617,0.7675834924892603,0.787264709810997,497145600
16,2000-01-26,0.8261594176292419,0.8561502421483886,0.8228793979998735,0.8247536806300994,367158400
17,2000-01-27,0.8247537016868591,0.8472472461005454,0.8022602073261206,0.8158498328805613,340144000
18,2000-01-28,0.7619599103927612,0.8313139876261031,0.7544626282012197,0.8111642189908632,423348800
19,2000-01-31,0.777892529964447,0.7788297215971289,0.7085384971864483,0.7572742139395244,701680000
20,2000-02-01,0.7516502141952515,0.7872648405973963,0.7497759314078642,0.7797667083888359,318035200
21,2000-02-02,0.7408721446990967,0.7657085717049097,0.7272824667837268,0.7553998150129182,464195200
22,2000-02-03,0.7746124863624573,0.7816420240339529,0.7516503410386773,0.7521189368410766,475193600
23,2000-02-04,0.8097586035728455,0.8247539710599592,0.7769554426039804,0.7792983717962242,425320000
24,2000-02-07,0.8552130460739136,0.8566188331182661,0.7942943061087022,0.8097583139672035,441067200
